Qty,Value,Device,Mfr PN,DigiKey PN,Package,Parts,Description,PROD_ID,VALUE
1,,CRYSTAL5X3,403C11E16M00000,CTX732CT-ND,CRYSTAL-SMD-5X3,Y1,CRYSTAL 16MHZ 20PF SMD,,
1,,M04PTH,399-93-104-10-003000,ED8904-ND,1X04,JP1,CONN SOCKET 4POS .100 R/ANGLE,,
3,,MOSFET-NREFLOW,"SSM3K329R,LF",SSM3K329RLFCT-ND,SOT23,"Q1, Q2, Q3",MOSFET N CH 30V 3.5A 2-3Z1A,,
2,0.1uF,0.1UF-25V-5%(0603),GRM188R71E104KA01D,490-1524-1-ND,0603-CAP,"C2, C3",CAP CER 0.1UF 25V 10% X7R 0603,CAP-08604,0.1uF
4,1.0uF,1.0UF-16V-10%(0603),GRM188R61E105KA12D,490-3897-1-ND,0603-CAP,"C4, C10, C13, C15",CAP CER 1UF 25V 10% X5R 0603,CAP-00868,1.0uF
1,10 pF,9.0PF-50V-10%(0603),GRM1885C1H100JA01D,490-1403-1-ND,0603-CAP,C8,CAP CER 10PF 50V 5% NP0 0603,CAP-09341,9.0pF
3,10nF,10NF/10000PF-50V-10%(0603),GRM188R71H103KA01D,490-1512-1-ND,0603-CAP,"C5, C6, C7",CAP CER 10000PF 50V 10% X7R 0603,CAP-00867,10nF
2,10uF,10UF-6.3V-20%(0603),GRM188C81C106MA73D,490-7198-1-ND,0603-CAP,"C14, C16",CAP CER 10UF 16V 20% X6S 0603,CAP-11015,10uF
1,2.2 nH,INDUCTOR0603,HK16082N2S-T,587-1537-1-ND,603,L1,INDUCTOR HI FREQ 2.2+/-0.3NH,,
1,2.2 pF,9.0PF-50V-10%(0603),CL10C2R2CB8NNNC,1276-1281-1-ND,0603-CAP,C9,CAP CER 2.2PF 50V NP0 0603,CAP-09341,9.0pF
2,20 pF,9.0PF-50V-10%(0603),GRM1885C1H200JA01D,490-1410-1-ND,0603-CAP,"C11, C12",CAP CER 20PF 50V 5% NP0 0603,CAP-09341,9.0pF
3,330,330OHM1/10W1%(0603),MCR03ERTF3300,RHM330CFCT-ND,0603-RES,"R3, R4, R5",RES-00818,RES-00818,330
1,ANTENNA22500AT44M0400,ANTENNA22500AT44M0400,2500AT44M0400E,712-1403-1-ND,ANTENNA-CHIP_2500AT44M0400,U$2,ANTENNA CHIP UWB 2.3 - 2.7 GHZ,,
1,ATTINY84,ATTINY84,ATTINY84A-SSUR,ATTINY84A-SSURCT-ND,SO14,U2,IC MCU 8BIT 8KB FLASH 14SOIC,,
1,AVR_MINI_PROGSMD,AVR_MINI_PROGSMD,GRPB061VWVN-RC,S9014E-06-ND,AVR_MINI_PROG,U$1,"CONN HEADER .050"" 6POS PCB GOLD",,
1,CC3000,CC3000,CC3000MOD,296-35057-ND,QFN-46_CC3000,U1,MOD SIMPLELINK WI-FI CC300,
1,LP298XS,LP298XS,LP2985-33DBVR,296-18476-1-ND,SOT23-5L,IC1,IC REG LDO 3.3V 0.15A SOT23-,
1,POWER_JACKPTH,POWER_JACKPTH,,,POWER_JACK_PTH,J1,Power Jack,PRT-00119
